日付	キャンペーン名	広告セット名	広告名	クリック	インプレッション	消化金額	結果
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	インタビューかずみさん	0	30	477	0
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	38	462	5107	0
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	32	993	4438	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	一歩進んだ資産づくり	0	7	44	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	インタビューかずよさん	0	23	423	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	15	719	5402	0
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【きっかけ】	4	181	1580	0
2026/03/25	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	9	782	5316	0
2026/03/25	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	インタビューまりこさん	0	18	111	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	知識ゼロでも叶う	0	16	122	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	子供の選択肢を増やす	0	15	150	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	いつか投資を始めたいver2	0	29	254	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	円安だけど気にしない	16	300	2766	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【成果】	0	11	91	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	11	375	3096	0
2026/03/26	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	FV訴求	0	4	24	0
2026/03/26	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	インタビューかずみさん	0	18	223	0
2026/03/26	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	23	478	4212	0
2026/03/26	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	20	847	4465	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	一歩進んだ資産づくり	1	16	435	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	インタビューかずよさん	0	28	389	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	16	615	4904	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	自分で選べる投資	0	2	26	0
2026/03/26	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【きっかけ】	3	174	1477	0
2026/03/26	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	20	701	4781	0
2026/03/26	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	インタビューまりこさん	0	19	207	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	知識ゼロでも叶う	0	8	30	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	子供の選択肢を増やす	0	6	129	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	いつか投資を始めたいver2	0	12	243	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	円安だけど気にしない	14	550	4781	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【成果】	0	4	5	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	6	205	1762	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	FV訴求	0	4	25	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	インタビューかずみさん	0	7	86	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	32	503	4944	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	18	644	3597	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	一歩進んだ資産づくり	0	20	115	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	29	681	5567	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【成果】	0	3	22	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【きっかけ】	4	227	1855	0
2026/03/27	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	11	657	4731	0
2026/03/27	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	インタビューまりこさん	0	5	14	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	知識ゼロでも叶う	0	4	11	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	子供の選択肢を増やす	0	6	102	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	いつか投資を始めたいver2	0	9	72	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	円安だけど気にしない	16	620	4886	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	2	79	770	0
2026/03/28	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	FV訴求	0	1	3	0
2026/03/28	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	インタビューかずみさん	0	5	93	0
2026/03/28	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	37	634	4753	0
2026/03/28	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	16	647	3893	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	一歩進んだ資産づくり	0	13	101	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	24	706	5725	0
2026/03/28	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【きっかけ】	8	249	2143	0
2026/03/28	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	14	636	3756	0
2026/03/28	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	インタビューまりこさん	0	5	137	0
2026/03/29	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	子供の選択肢を増やす	0	1	1	0
2026/03/29	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	円安だけど気にしない	1	22	105	0
2026/03/29	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ2	かずみさんショート【きっかけ】	0	13	109	0
2026/03/29	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	50代でもスタートできる	6	86	568	0
2026/03/29	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ7	日本一簡単な株式投資	0	56	308	0
2026/03/29	エバー_投資家女子デビュー_リード1_2025/11/1	25-60_女性_リード1_ノンタゲ3	NISAの次の一歩	4	129	934	0
2026/03/29	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	かずみさんショート【きっかけ】	0	30	101	0
2026/03/29	エバー_投資家女子デビュー_CV1_2025/11/1	25-60_女性_CV1_ノンタゲ9	仲間とやるから続けられる	1	77	480	0
